en;jp
Error loading Base Mod.;Base Mod読み込みエラー.
Failed to load mod "__1__";MOD「__1__」の読み込みに失敗しました
Failed to load mod "__1__": __2__;Mod"__1__"の読み込みに失敗しました: __2__
Cannot run command (__1__) - you are not an admin.;コマンド(__1__)を実行できません―管理者権限がありません。
Cannot run command (__1__) in a singleplayer game.;このコマンド (__1__) はシングルプレイでは実行できません。
__1__ was banned by __2__. Reason: __3__.;__1__は__2__にBANされました。理由：__3__
__1__ (not on map) was banned by __2__. Reason: __3__.;__1__(マップ上にいない)は__2__にBANされました。理由：__3__
unspecified;未指定
__1__ was kicked by __2__. Reason: __3__.;__1__は__2__にキックされました。理由：__3__
No players are banned.;BANされたプレイヤーはいません。
__1__ for __2__;__1__ 理由: __2__
__1__ (__2__) for __3__;__1__ (__2__) : __3__
__1__ is already an admin.;__1__はすでに管理者になっています。
__1__ was promoted to admin by __2__.;__1__ は、__2__ によって管理者に昇格しました。
__1__ is not an admin.;__1__は管理者ではありません。
__1__ was demoted from admin by __2__.;__1__ は、__2__ によって管理者から降格しました。
__1__ is already in the admin list and will be promoted upon joining the game.;__1__は既に管理者リストに載っており、ゲーム参加時に昇格されます。
__1__ was added to the admin list by __2__ and will be promoted upon joining the game.;__1__は__2__によって管理者リストに追加され、ゲーム参加時に昇格されます。
__1__ is not in the admin list.;__1__は管理者リストに載っていません。
__1__ was removed from the admin list by __2__ and will no longer be promoted upon joining the game.;__1__は__2__によって管理者リストから削除され、ゲーム参加時に昇格されなくなります。
__1__ was unbanned by __2__.;__1__は__2__によってBANを解除されました。
Cannot unban __1__ as the player is not banned.;__1__はBANされていないためBANの解除ができません。
Color can only be set for players.;色の指定はプレイヤー以外にはできません。
Invalid parameter;無効なパラメータ
Invalid screenshot resolution. Width and height has to be from range {1, __1__}.;スクリーンショットの解像度が不正です。幅と高さは{1, __1__}の範囲である必要があります。
Invalid zoom level. Zoom has to be greater than or equal to __1__.;不正なズームレベルです。__1__以上に設定する必要があります。
__1__'s color is now __2__.;__1__の色は__2__に変更されました。
Your color is now __1__.;あなたの色は__1__になりました。
Unknown color __1__.;不明な色: __1__.
Using Lua console commands will disable achievements. Please repeat the command to proceed.;Luaコンソールコマンドを使うと実績が解除されなくなります。実行するにはもう一度コマンドを入力してください。
Using the Map Editor will disable achievements. Please repeat the command to proceed.;マップエディタを使うと実績が解除されなくなります。実行するにはもう一度コマンドを入力してください。
Using the cheat command will disable achievements. Please repeat the command to proceed.;チートコマンドを使うと実績が解除されなくなります。実行するにはもう一度コマンドを入力してください。
Player __1__ tried using the command "__2__".;プレイヤー __1__ は、コマンド"__2__"の実行を試みました
Player __1__ tried using the Map Editor.;プレイヤー__1__はマップエディタの使用を試みました.
Player __1__ tried using the cheat command.;プレイヤー__1__はチートコマンドの実行を試みました.
__1__ (command): __2__;__1__ (コマンド): __2__
__1__ tried to run a command, which isn't allowed for them: __2__;__1__はコマンドを実行しようと試みましたが、権限がありません: __2__
__1__ started research __2__;__1__ が __2__ の研究を開始しました。
__1__ queued research __2__;__1__は__2__を研究予約しました。
__1__ changed research from __2__ to __3__;__1__は研究を__2__から__3__に変更しました。
__1__ canceled research __2__;__1__ が __2__ の研究をキャンセルしました。
Cannot swap console with player: Expected 2 players when called from console.;コンソールとプレイヤーを交換することはできません : コンソール操作の場合は、2 人のプレイヤーを指定する必要があります。
Cannot swap: Expected 2 players when called from console.;交換できません : コンソール操作の場合は、2人のプレイヤーを指定する必要があります。
User verification has been disabled.;ユーザー認証が無効になりました。
User verification has been enabled.;ユーザー認証が有効になりました。
User verification is already disabled.;ユーザー認証はすでに無効です。
User verification is already enabled.;ユーザー認証はすでに有効です。
Transferring blueprint: __1__;建設計画を転送中: __1__
Untitled;題名未設定
Item has tags.;アイテムにはタグがあります。
Failed to import string: __1__.;コードのインポートに失敗しました: __1__
Permissions imported successfully.;権限は正常に読み込まれました。
Error while importing string:;コードのインポートエラー:
__1__ imported successfully.;__1__ を正常にインポートしました。
Input produced no item.;入力文字列は項目を生み出しませんでした。
Mod settings cannot be opened when the game isn't fully setup (joining a paused multiplayer game).;ゲームの設定が完全でない場合 (一時停止中のマルチプレイへの参加)、 modの設定を開くことはできません。
Continue;続行
Disabled by server;サーバーで無効化
Game has been saved to __1__.;ゲームは__1__にセーブされました。
No artillery with ammo in range.;範囲内に弾薬がある長距離砲がありません。
No artillery in range.;範囲内に長距離砲がありません。
Saving process crashed.;保存プロセスがクラッシュしました
Cannot swap players with yourself.;自分自身を入れ替えることはできません。
Cannot swap players: One or both of them does not have a character.;交換することができません: 片方、もしくは両方がキャラクターを持っていません。
Cannot swap players: Character does not have a controller.;交換することができません: キャラクターがコントローラーを持っていません。
Cannot swap players: players are on different surfaces.;プレイヤーを交換できません：プレイヤーは別のサーフェスにいます。
Can only join a Steam game while in the Main Menu.;メインメニューからのみSteamゲームに参加できます。
Unable to join game: Steam networking is disabled in the config settings.;ゲームに参加できません : Steamネットワーキングが設定で無効になっています。
Unable to join game using Steam networking: Steam is not initialized correctly. Steam-related features are disabled. Restarting Steam usually fixes this issue. Do you want to try to join using non-Steam networking?;Steamネットワークを利用してゲームに参加できません : Steamが正しく初期化されていません。Steamの関連機能が無効になっています。Steamを再起動することで通常は解決します。Steamネットワークを利用せずゲームに参加することを試みますか？
Closing file __1__ failed.\nReason: __2__.;ファイル __1__ を閉じることができませんでした。\n理由: __2__。
Other, error code: __1__;その他、エラー コード: __1__
CRC check failed: The zip is corrupted.;CRCチェックに失敗しました: zipファイルが破損しています。
Reading file __1__ failed.\nError code: __2__.;ファイル __1__ の読み込みに失敗しました。\nエラーコード: __2__。
The mod __1__ caused a non-recoverable error.\nPlease report this error to the mod author.\n\n__2__;__1__のMODが回復不能なエラーを発生させました。\nMOD作成者にこのエラーを報告してください。\n\n__2__
The scenario __1__ caused a non-recoverable error.\nPlease report this error to the scenario author.\n\n__2__;__1__のシナリオが回復不能なエラーを発生させました。\nシナリオ作成者にこのエラーを報告してください。\n\n__2__
__1__\nAn error handler added the following information:\n__2__;__1__\nエラーハンドラは次の情報を追加しました:\n__2__
__1__\nWhile handling this, an error handler caused another error:\n__2__;__1__\nこれを扱っている間、エラーハンドラは別のエラーを発生させます:\n__2__
Cannot reach;到達不可能
Missing __1__;__1__ がありません
Missing equipment:;装備がありません:
__1__ X __2__;__1__ X __2__
Wire cannot reach;ケーブルが届きません
Cannot connect to wire;ケーブルを接続できません
Cannot connect to electric wire;銅線を接続できません
Manual wire dragging disabled;手動ワイヤ移動を無効化しました。
Max of 5 connections reached.;最大接続数の5に到達しています。
Not operable;操作不可
Cannot be crafted in this machine.;この機械で製作することはできません。
Cannot mix fluids.;流体を混合できません。
A player with the name __1__ already exists.;__1__という名前のプレイヤーが既に存在します。
Reset __1__ __plural_for_parameter_1_{1=option|rest=options}__ to __plural_for_parameter_1_{1=default|rest=defaults}__;__1__のオプションをデフォルトにリセット
All options have default values.;全てのオプションは標準値です。
There are unconfirmed changes.;保存されていない変更があります。
Discard changes;変更を破棄
This shortcut requires the __1__ technology.;このショートカットを利用するには__1__の研究が必要です。
Cannot dock more items to the shortcut bar.;ショートカットバーにこれ以上項目を登録できません。
Cannot put away the __1__. Player inventory is full.;__1__を格納できません。プレイヤーのインベントリが一杯です。
Cannot return item back: __1__;アイテムを返品できません: __1__
Reverted control settings to the default bindings due to incompatibility with previous versions.;過去のバージョンと互換性がないため操作設定をデフォルトに戻しました。
The target of this shortcut to the blueprint library is no longer present.;建設計画ライブラリへのショートカットの参照先が存在しません。
This feature is not available in the demo version of the game;この機能はデモバージョンのゲームでは利用できません。
Press __CONTROL__confirm-message__ to skip cutscene;__CONTROL__confirm-message__を押してカットシーンをスキップします
__1__ (remnant);__1__（残骸）
__1__ (dying explosion);__1__（爆発破片）
Blueprint record is being transferred into the game, try again when the transfer is finished.;記録がゲームに転送されています。転送が完了したら、もう一度お試しください。
No new content selected.;新しいコンテンツが選択されていません。
Cannot insert item, the maximum book recursion is __1__.;本の中に本を入れることはできません。本の最大再帰は __1__ です。
__1__ is an invalid snap to grid value.;__1__ は自動調整することはできません。
__1__ is an invalid grid position value.;__1__ は自動調整することはできません。
Snap to grid value for this blueprint has to be multiple of __1__.;この建設計画をマス目に対して自動調整させるには、 __1__ の倍数でなければなりません。
Grid position value for this blueprint has to be multiple of __1__.;この建設計画をマス目に対して自動調整させるには、 __1__ の倍数でなければなりません。
Grid position and blueprint grid position coordinates need to be either all even or all odd.;グリッド位置と建設計画のグリッド位置座標は、すべて偶数もしくは奇数でなければなりません。
The item was removed.;このアイテムは削除されています。
Cursor;カーソル
On the ground;地面に
Cannot save because a save is already in progress.;保存処理が既に実行中のため保存できません。
Bonus production: __1__;ボーナス生産量: __1__
No modifier selected;MODが選択されていません
New tips;新しいヒント
New tips: __1__;新しいヒント: __1__
Blueprint with __1__ cannot be flipped.;__1__が含まれる建設計画は反転できません。
Mod __1__ has name that is too long, maximum mod name length is __2__ characters.;Mod __1__ の名前が長すぎます。Mod名の最大文字数は __2__ 文字です。
Mod __1__ has title that is too long, maximum mod title length is __2__ characters.;Mod __1__ のタイトルが長すぎます。Modタイトルの最大文字数は __2__ 文字です。
Cannot build here;ここには配置できません
__1__ is in the way;そこには __1__ があります
__1__ ghost is in the way;__1__の仮設置があります。
Character is in the way;そこにはキャラクターが居ます
Cannot build on __1__;__1__ には配置できません
Cannot build outside of the map;マップの外には配置できません
Rail signals must be built next to rails;列車用信号はレールの横に配置する必要があります
__1__ must be built next to rails;__1__はレールの横に配置する必要があります
Too close to existing rail signal;他の列車用信号に近すぎます
Invalid rail signal position;無効な列車用信号の位置
Invalid belt position;ベルト位置が無効
Invalid train stop position;無効な駅の位置
Cannot build train stop in intersection;交差点には駅を設置できません
__1__ can only be built on resources;__1__は資源の上にのみ設置可能です
Mining drills must be built on resources;掘削機は資源上に配置する必要があります
__1__ cannot mine this resource;__1__ではこの資源を採掘できません。
Train ghosts must be built on rails;列車はレールの上で仮設置する必要があります
__1__ must be built on rails;__1__はレールに配置する必要があります
Cannot connect systems with different fluids;別種の流体システム同士は接続できません
Cannot build in fog of war.;未探査領域には設置できません。
Cannot build in an uncharted area;未知のエリアには建設できません
Download failed (status code __1__): __2__;ダウンロードに失敗しました (ステータスコード __1__): __2__
Server returned error: __1__;ダウンロードに失敗しました (ステータスコード __1__)。
Couldn't parse the response from the auth server. This seems to be an internal server error.;ダウンロードに失敗しました (ステータスコード __1__): JSONレスポンスの解析に失敗しました: __2__
Download failed (status code __1__): auth error: __2__;ダウンロードに失敗しました (ステータスコード __1__): 認証エラー: __2__
Download failed (status code __1__): auth error.;ダウンロードに失敗しました (ステータスコード __1__): 認証エラー。
Unexpected character (__1__) at __2__:__3__;__2__:__3__に予期せぬ文字(__1__)
Unexpected end of file at __1__:__2__;__1__で予期せぬファイルの終了: __2__
Invalid comma before ']' at __1__:__2__;__1__で']'以前に不正なカンマ: __2__
Invalid comma before '}' at __1__:__2__;__1__で'}'以前に不正なカンマ: __2__
Unterminated string at __1__:__2__;__1__の文字列が終端されていない:__2__
Invalid UTF-16 low surrogate in JSON string escapes at __1__:__2__;__1__のJSON文字列エスケープで無効なUTF-16下位サロゲート:__2__
Unexpected UTF-16 low surrogate in JSON string escapes at __1__:__2__;__1__のJSON文字列エスケープで予期せぬUTF-16下位サロゲート:__2__
Invalid string escape at __1__:__2__;__1__で無効な文字列エスケープ:__2__
Unterminated section header at __1__:__2__;__1__のセクションヘッダが終端されていない:__2__
Missing value at __1__:__2__;__1__に値がありません: __2__
Failed to create an application window. __1__;アプリケーションウィンドウを作成できませんでした。__1__
Initialization failed. Error code: __1__;初期化に失敗しました。エラーコード: __1__
Failed to load window icon! File path: __1__;ウィンドウアイコンの読み込みに失敗しました！ ファイルパス: __1__
Unable to create sprite (size __1__x__2__), probably not enough video memory (VRAM).;サイズ__1__x__2__のスプライトを作成できません。ビデオメモリー(VRAM)が不足している可能性があります。
Operation failed;操作に失敗しました
Failed to start the game;ゲームの起動に失敗しました
Error;エラー
Unexpected error occurred. If you're running the latest version of the game, you can help us resolve the problem by posting the contents of the log file on the Factorio forums.\nPlease also include the save file(s), any mods you may be using, and any steps you know of to reproduce the crash.;予期せぬエラーが発生しました。最新バージョンのゲームを起動している場合、Factorioのフォーラムにログファイルを投稿することで問題の分析に協力できます。\nセーブファイル・使用しているMOD構成・エラーを再現できる手順も併せて投稿してください。
Setting sprite resolution option (high -> normal). Please restart the game.;スプライト解像度のオプションを設定しました(高->普通)。ゲームを再起動してください。
Setting bitmap caching option (all -> high). Please restart the game.;ビットマップキャッシュのオプションを設定しました(全て->高)。ゲームを再起動してください。
Setting bitmap caching option (high -> medium). Please restart the game.;ビットマップキャッシュのオプションを設定しました(高->普通)。ゲームを再起動してください。
Turning low VRAM mode on. Please restart the game.;低 VRAM モードをONに切り替えました。ゲームを再起動してください。
Setting bitmap caching option (medium -> low). Please restart the game.;ビットマップキャッシュのオプションを設定しました(普通->低)。ゲームを再起動してください。
Turning low graphics options on. Please restart the game.;低グラフィックオプションをオンに切り替えました。ゲームを再起動してください。
Low graphics mode and bitmap caching level low are already on. This means that your system hardware is below the minimum requirements. If you believe this is an issue with the game, please report it on our forums.;低グラフィックスモードおよび低レベルビットマップキャッシュはすでに有効です。あなたのシステムハードウェアは最小要件を下回っているということです。これがゲーム側の問題だと考えているならば、フォーラムに報告してください。
Audio error;オーディオエラー
Couldn't initialize audio. Audio is disabled.;オーディオを初期化できなかったため、オーディオは無効化されました。
Data error;データエラー
Failed to load the player data file. Campaign progress might be lost.;プレイヤーデータファイルの読み込みに失敗しました。キャンペーンの進捗は失われた疑いがあります。
Failed to load local achievement data. Local achievements might be lost.;ローカル実績データの読み込みに失敗しました。ローカル実績は失われた疑いがあります。
Configuration file has invalid contents. Do you want to reset it?;設定ファイルは無効なコンテンツを含んでいます。リセットしますか？
Failed to load save file.;セーブファイルの読み込みに失敗しました。
Detected corruption of the game state. Game was not saved to prevent corruption of your save files.;ゲームの状態に破損が検出されました。セーブファイルの破損を防ぐため、ゲームはセーブされていません。
Detected corruption of the game state. You won't be able load the save game.;ゲームの状態に破損が検出されました。セーブを読み込むことは出来ません。
Cannot play replay: replay data was not found.;リプレイを再生できません。リプレイデータが見つかりませんでした。
Replay header cannot be loaded. It is probably older than the current version __1__.;リプレイヘッダが読み込めません。おそらく現在のバージョン__1__より古いものです。
Replay header cannot be loaded due to the following error:;以下の理由からリプレイヘッダを読み込めません:
Cannot play replay: it was created in version __1__, but current version is __2__.;リプレイを再生できません。リプレイはバージョン__1__で作られたものですが、現在のバージョンは__2__です。
Cannot play replay: it has a different mod configuration.;リプレイを再生できません。MODの設定が異なります。
Value out of range: valid values are __1__ through __2__ inclusive.;範囲外の値: __1__ から __2__ が有効です。
You have only __1__ MB of free space left in Steam Remote Storage. If you run out of available space, the game might not be able to store your configuration and blueprint library, and you might lose your progress if you rely on Steam Cloud for synchronizing save files between computers.\nWe recommend you delete some old save files using delete button in Load Game dialog to free up space.;Steamリモートストレージに空き容量が __1__ MBしか残っていません。 空き容量が不足している場合、設定やブループリントライブラリを保存できない可能性があります。 コンピュータ間のセーブファイルを同期させるためにSteam Cloudを使用すると、進行状況が失われる可能性があります。 \n「ロードゲーム」ダイアログの「削除」ボタンを使用して、古いセーブファイルを削除しスペースを解放することをお勧めします。
Low available space in Steam Remote Storage warning;Steamリモートストレージの空き容量が少なくなっています
This map can not be loaded in the demo version of the game.;このマップはデモバージョンではロードできません
Map version __1__ cannot be loaded because it is lower than the minimum input version (__2__).;読み込める最小バージョン(__2__)よりも古いデータなので、バージョン__1__のデータを読み込めません。
Map version __1__ cannot be loaded because it is higher than the game version (__2__).;このバージョン(__2__)のFactorioよりも新しいデータなので、バージョン__1__のデータを読み込めません。
Campaign '__1__' was retired from the game. You can load this save in game version __2__.;キャンペーン '__1__' はゲームから除去されており読込出来ませんでした。このセーブデータはバージョン を'__2__'にすることでロードできます。
Cannot save map: __1__;マップを保存できません: __1__
Died;死亡
__1__ ago;__1__前
Name;名前
Remaining time;残り時間
Killed by;死因
Ghost controller;ゴーストコントローラー
Character;キャラクター
God controller;ゴッドコントローラー
Editor;エディタ
Pause;一時停止
Cutscene controller;アニメーション コント ローラー
Spectator controller;観客コント ローラー
Tree;木
- Prints a list of game admins.;- 管理者の一覧を出力します。
<enable/disable/mute/unmute> <alert> - Enables, disables, mutes, or unmutes the given alert type.;<enable/disable/mute/unmute> <alert> - 指定したアラートを有効化、無効化、ミュート、ミュート解除します。
All players:;全プレーヤー:
Available alerts: __1__.;使用可能なアラート: __1__。
Available colors: __1__.;利用可能な色: __1__
Ban;BAN
Banlist;Banリスト
- Prints a list of banned players.;- BANされているプレイヤーの一覧を出力します。
The banlist command cannot be used in a singleplayer game.;banlistコマンドはシングルプレイでは使用できません。
The permissions command cannot be used in a singleplayer game.;permissions コマンドはシングルプレイでは使用できません。
The whitelist command cannot be used in a singleplayer game.;whitelistコマンドはシングルプレイでは使用できません。
Clear;クリア
Color;色
Command;Command
- Opens the server configuration GUI.;- サーバ設定GUIを開きます。
<player> - Deletes the blueprint library storage for the given offline player from the save file. Enter "everybody confirm" to delete the storage of all offline players.;<プレイヤー> - 指定されたオフラインプレイヤーの建設計画ライブラリストレージを保存ファイルから削除します。 "everybody confirm"を入力すると、すべてのオフラインプレイヤーのストレージを削除します
Demote;降格
Evolution;進化
Type /h <command> to get details of it.;/h <command> で詳細を取得します。
Available options are: __1__.;利用可能なオプション: __1__
<command> - Prints a list of available commands. The optional argument can specify the command that should be described.;<command> - 使用可能なコマンドのリストを出力します。オプション引数で記述されるコマンドを指定できます。
<player> - Prevents the chat from showing messages from this player. Admin messages are still shown.;<player> - このプレイヤーからのチャット発言が表示されなくなります。管理者メッセージは表示されます。
- Prints a list of ignored players.;- 無視(ignore)しているプレイヤーの一覧を出力します。
Kick;キック
Matching alerts: __1__.;一致するアラート: __1__。
Matching colors: __1__.;一致する色: __1__。
Matching commands:;該当するコマンド:
Matching players:;該当するプレイヤー名:
<command> - Executes a Lua command (if allowed) and measures time it took.;<command> - (許可されている場合)Lua コマンドを実行し、それにかかった時間を測定します。
<mute/unmute> <local/everyone> - Mutes or unmutes the global sounds created by the Programmable Speaker. Use "local" to mute just the local client. Admins can use "everyone" to mute the sounds for everyone on the server.;<mute/unmute> <local/everyone> - プログラマブルスピーカーの音をミュートまたはミュート解除します。localを指定するとこのクライアントだけ適用されます。管理者のみeveryoneを指定するとサーバーに接続しているすべてのクライアントに適用できます。
Mute;ミュート
- Prints a list of all players that are muted (cannot talk in chat).;- ミュート(チャット不可)された全てのプレイヤーリストを出力します。
<player> - Opens another player's inventory.;<player>- 別のプレイヤーのインベントリを開きます。
- Number of ticks/updates used to average performance counters. The default is 100. A value of 5-10 is recommended for fast convergence, but numbers will jitter more rapidly.;- パフォーマンスカウンターの平均化に用いられるtick/アップデートの数。既定値は100です。高速な更新には5-10の値が推奨されますが、数値がより激しく変動するようになります。
- Opens the permissions GUI.;- 権限GUIを開きます。
Admin;管理者
Players;参加者
Promote;昇格
Purge;隔離
Quit map editor;マップエディターの終了
<message> - Replies to the last player that whispered to you.;<message> - 最後に自分宛にささやいたプレイヤーへ返信します。
Save;保存
<x resolution> <y resolution> <zoom> - Takes a screenshot with your current view settings, or with the specified resolution. Zoom is optional and defaults to 1.;<横方向解像度> <縦方向解像度> <ズーム> - 現在の表示設定、または指定した解像度でスクリーンショットを撮影します。ズームは省略可能で、デフォルトでは1です。
- Prints the starting map seed.;マップのシード値を出力します。
- Server console commands.;- サーバーコンソールコマンド
- Saves the game on the server in a multiplayer game.;- マルチプレイ時にゲームをサーバにセーブします。
shout;全体チャット
<command> - Executes a Lua command (if allowed) without printing it to the console.;<command> - コンソールに出力せずに Lua コマンドを実行します (許可されている場合)。
<player> <player> - Swaps characters between the specified players. If not given, the second player is yourself.;<player> <player> - 指定されたプレイヤー間の文字を入れ替えます。指定されていない場合は、2番目のプレイヤーは自分自身です。
- Prints info about how old the map is.;- マップの経過時間についての情報を出力します。
- Toggles logging of all input actions performed by the game. This value doesn't persist following game restarts and only effects your local game in multiplayer sessions.;- ゲームで実行されたすべての入力作業の記録を切り替えます。この値は、ゲームの再開時に保持されず、マルチプレイヤーセッションでローカルゲームにのみ影響を与えます。
- This command is to be used with caution as it will make the game multiplayer unplayable once set. The game starts to save and compare the game with itself every tick to search for inconsistencies in the determinism. This command is advised to be used when there is a desync loop when a new player joins the server. The heavy mode will run until it outputs something. Please provide it to us so we can investigate and fix the problem.;- このコマンドは注意して使用してください。一度セットするとマルチプレイはできなくなります。ゲームは1 tickごとにセーブされ、決定論的矛盾を探すため比較するのに使用されます。このコマンドを使うべき状況は新しいプレイヤーがサーバーに参加して、desyncループが発生した場合です。ヘビーモードは何らかの結果が得られるまで継続します。問題を調査・解決できるよう、実行結果を開発チームに提供してください。
Unban;BAN解除
<player> - Allows the chat to show messages from this player.;<player> - このプレイヤーのチャット発言を表示します。
Unmute;ミュート解除
Version;バージョン
whisper;個人会話
Whitelist;ホワイトリスト
<all> - Researches all technologies and enables cheat mode. Using the <all> option also gives the player some additional items.;<all> - 全ての技術を研究完了状態にし、チートモードをオンにします。<all>オプションが指定された場合、追加でアイテムを得ます。
- Unlocks all shortcut bar items.;- ショートカットバーの項目を全てアンロックします。
Unlocks all tips and trick entries.;すべてのヒントとこつのロックを解除します。
Resets the state of the tips and tricks as if the game was just started for the first time.;ゲームが初めて開始された時点にヒントをリセットします。
Failed to load mods: __1__;あなたのmodのスタートアップ設定が、接続先のサーバーの設定と一致しません。\n\nサーバーのスタートアップ設定を適用してゲームを再開しますか？
Tags;タグ
<number> - Sets the time (in minutes) a player has to be inactive before they are auto-kicked. 0 means disabled.;<number> - プレーヤーが自動キックされる前に非アクティブにしなければならない時間 (分) を設定します。0 は無効を意味します。
Allow Lua commands;Luaコマンドの許可
Allow debug settings: __1__.;デバッグ設定を許可: __1__。
Autosave interval;オートセーブの間隔
Autosave only on server;オートセーブはサーバ上のみ
Ignore player limit for returning players: __1__.;一度参加したことのあるプレーヤーは定員を無視して参加できる: __1__。
Matching configs: __1__.;一致する設定: __1__。
Max. players;最大プレイヤー数
